timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695752688889,5707,HTTP Request,200,OK,ThreadGroup 1-19,text,true,,401849,119,30,30,https://www.shopify.com/,382,0,0
1695752691526,3105,HTTP Request,200,OK,ThreadGroup 1-49,text,true,,401848,119,30,30,https://www.shopify.com/,1330,0,594
1695752691519,3149,HTTP Request,200,OK,ThreadGroup 1-30,text,true,,401848,119,30,30,https://www.shopify.com/,367,0,0
1695752688225,6444,HTTP Request,200,OK,ThreadGroup 1-38,text,true,,401849,119,30,30,https://www.shopify.com/,2100,0,1792
1695752691622,3072,HTTP Request,200,OK,ThreadGroup 1-36,text,true,,401841,119,29,29,https://www.shopify.com/,786,0,0
1695752689272,5422,HTTP Request,200,OK,ThreadGroup 1-12,text,true,,401841,119,29,29,https://www.shopify.com/,942,0,0
1695752691881,3035,HTTP Request,200,OK,ThreadGroup 1-28,text,true,,401849,119,28,28,https://www.shopify.com/,376,0,0
1695752688827,6203,HTTP Request,200,OK,ThreadGroup 1-40,text,true,,401849,119,27,27,https://www.shopify.com/,1151,0,642
1695752689953,5352,HTTP Request,200,OK,ThreadGroup 1-25,text,true,,401836,119,27,27,https://www.shopify.com/,367,0,0
1695752690473,5088,HTTP Request,200,OK,ThreadGroup 1-18,text,true,,401849,119,26,26,https://www.shopify.com/,1551,0,0
1695752691919,4001,HTTP Request,200,OK,ThreadGroup 1-32,text,true,,401857,119,25,25,https://www.shopify.com/,382,0,0
1695752689126,6928,HTTP Request,200,OK,ThreadGroup 1-41,text,true,,401849,119,25,25,https://www.shopify.com/,3931,0,3511
1695752693253,2838,HTTP Request,200,OK,ThreadGroup 1-42,text,true,,401843,119,25,25,https://www.shopify.com/,488,0,0
1695752690026,6109,HTTP Request,200,OK,ThreadGroup 1-44,text,true,,401836,119,25,25,https://www.shopify.com/,1012,0,674
1695752693273,2868,HTTP Request,200,OK,ThreadGroup 1-31,text,true,,401841,119,25,25,https://www.shopify.com/,1347,0,0
1695752692058,4121,HTTP Request,200,OK,ThreadGroup 1-35,text,true,,401843,119,24,24,https://www.shopify.com/,1214,0,0
1695752690501,5862,HTTP Request,200,OK,ThreadGroup 1-27,text,true,,401855,119,24,24,https://www.shopify.com/,967,0,0
1695752694632,1752,HTTP Request,200,OK,ThreadGroup 1-49,text,true,,401849,119,24,24,https://www.shopify.com/,456,0,0
1695752693273,3136,HTTP Request,200,OK,ThreadGroup 1-37,text,true,,401841,119,24,24,https://www.shopify.com/,1336,0,0
1695752687025,9419,HTTP Request,200,OK,ThreadGroup 1-34,text,true,,401841,119,24,24,https://www.shopify.com/,2302,0,1932
1695752690925,5903,HTTP Request,200,OK,ThreadGroup 1-47,text,true,,401849,119,24,24,https://www.shopify.com/,1005,0,667
1695752690326,6528,HTTP Request,200,OK,ThreadGroup 1-45,text,true,,401856,119,24,24,https://www.shopify.com/,3214,0,2871
1695752689725,7172,HTTP Request,200,OK,ThreadGroup 1-43,text,true,,401847,119,24,24,https://www.shopify.com/,1104,0,735
1695752694694,2470,HTTP Request,200,OK,ThreadGroup 1-36,text,true,,401851,119,24,24,https://www.shopify.com/,1225,0,0
1695752693536,3659,HTTP Request,200,OK,ThreadGroup 1-26,text,true,,401849,119,23,23,https://www.shopify.com/,962,0,0
1695752694669,2757,HTTP Request,200,OK,ThreadGroup 1-38,text,true,,401849,119,22,22,https://www.shopify.com/,850,0,0
1695752696385,1693,HTTP Request,200,OK,ThreadGroup 1-49,text,true,,401841,119,22,22,https://www.shopify.com/,437,0,0
1695752692755,5811,HTTP Request,200,OK,ThreadGroup 1-17,text,true,,401862,119,21,21,https://www.shopify.com/,866,0,0
1695752696092,2493,HTTP Request,200,OK,ThreadGroup 1-42,text,true,,401843,119,20,20,https://www.shopify.com/,770,0,0
1695752695031,3583,HTTP Request,200,OK,ThreadGroup 1-40,text,true,,401836,119,19,19,https://www.shopify.com/,450,0,0
1695752696055,2625,HTTP Request,200,OK,ThreadGroup 1-41,text,true,,401854,119,19,19,https://www.shopify.com/,404,0,0
1695752696410,2464,HTTP Request,200,OK,ThreadGroup 1-37,text,true,,401857,119,19,19,https://www.shopify.com/,386,0,0
1695752695920,2999,HTTP Request,200,OK,ThreadGroup 1-32,text,true,,401841,119,18,18,https://www.shopify.com/,416,0,0
1695752696180,2886,HTTP Request,200,OK,ThreadGroup 1-35,text,true,,401849,119,17,17,https://www.shopify.com/,442,0,0
1695752696855,2397,HTTP Request,200,OK,ThreadGroup 1-45,text,true,,401857,119,16,16,https://www.shopify.com/,664,0,0
1695752694597,4668,HTTP Request,200,OK,ThreadGroup 1-19,text,true,,401847,119,16,16,https://www.shopify.com/,1067,0,0
1695752697427,1844,HTTP Request,200,OK,ThreadGroup 1-38,text,true,,401849,119,15,15,https://www.shopify.com/,376,0,0
1695752690625,8695,HTTP Request,200,OK,ThreadGroup 1-46,text,true,,401850,119,14,14,https://www.shopify.com/,2027,0,1629
1695752696136,3184,HTTP Request,200,OK,ThreadGroup 1-44,text,true,,401856,119,14,14,https://www.shopify.com/,369,0,0
1695752696445,2876,HTTP Request,200,OK,ThreadGroup 1-34,text,true,,401841,119,14,14,https://www.shopify.com/,458,0,0
1695752691825,7674,HTTP Request,200,OK,ThreadGroup 1-50,text,true,,401857,119,14,14,https://www.shopify.com/,5706,0,5402
1695752688525,11099,HTTP Request,200,OK,ThreadGroup 1-39,text,true,,401848,119,14,14,https://www.shopify.com/,1156,0,732
1695752691226,8515,HTTP Request,200,OK,ThreadGroup 1-48,text,true,,401836,119,14,14,https://www.shopify.com/,2527,0,578
1695752696897,3054,HTTP Request,200,OK,ThreadGroup 1-43,text,true,,401860,119,14,14,https://www.shopify.com/,759,0,0
1695752698615,1394,HTTP Request,200,OK,ThreadGroup 1-40,text,true,,401841,119,14,14,https://www.shopify.com/,655,0,0
1695752696364,3941,HTTP Request,200,OK,ThreadGroup 1-27,text,true,,401860,119,13,13,https://www.shopify.com/,550,0,0
1695752693075,7326,HTTP Request,200,OK,ThreadGroup 1-22,text,true,,401860,119,12,12,https://www.shopify.com/,1192,0,0
1695752698680,1822,HTTP Request,200,OK,ThreadGroup 1-41,text,true,,401841,119,12,12,https://www.shopify.com/,524,0,0
1695752699321,1383,HTTP Request,200,OK,ThreadGroup 1-46,text,true,,401841,119,11,11,https://www.shopify.com/,256,0,0
1695752699499,1304,HTTP Request,200,OK,ThreadGroup 1-50,text,true,,401851,119,11,11,https://www.shopify.com/,170,0,0
1695752699253,1598,HTTP Request,200,OK,ThreadGroup 1-45,text,true,,401841,119,11,11,https://www.shopify.com/,225,0,0
1695752696829,4080,HTTP Request,200,OK,ThreadGroup 1-47,text,true,,401860,119,10,10,https://www.shopify.com/,714,0,0
1695752694217,6718,HTTP Request,200,OK,ThreadGroup 1-33,text,true,,401855,119,10,10,https://www.shopify.com/,597,0,0
1695752699321,1711,HTTP Request,200,OK,ThreadGroup 1-44,text,true,,401841,119,10,10,https://www.shopify.com/,279,0,0
1695752699321,1893,HTTP Request,200,OK,ThreadGroup 1-34,text,true,,401841,119,9,9,https://www.shopify.com/,370,0,0
1695752699951,1495,HTTP Request,200,OK,ThreadGroup 1-43,text,true,,401849,119,8,8,https://www.shopify.com/,150,0,0
1695752700704,803,HTTP Request,200,OK,ThreadGroup 1-46,text,true,,401849,119,7,7,https://www.shopify.com/,76,0,0
1695752699625,1946,HTTP Request,200,OK,ThreadGroup 1-39,text,true,,401862,119,6,6,https://www.shopify.com/,295,0,0
1695752700804,878,HTTP Request,200,OK,ThreadGroup 1-50,text,true,,401847,119,6,6,https://www.shopify.com/,130,0,0
1695752699742,2047,HTTP Request,200,OK,ThreadGroup 1-48,text,true,,401860,119,5,5,https://www.shopify.com/,309,0,0
1695752700401,1463,HTTP Request,200,OK,ThreadGroup 1-22,text,true,,401860,119,5,5,https://www.shopify.com/,242,0,0
1695752701572,685,HTTP Request,200,OK,ThreadGroup 1-39,text,true,,401841,119,4,4,https://www.shopify.com/,123,0,0
1695752701789,678,HTTP Request,200,OK,ThreadGroup 1-48,text,true,,401841,119,3,3,https://www.shopify.com/,94,0,0
1695752700910,2615,HTTP Request,200,OK,ThreadGroup 1-47,text,true,,401860,119,2,2,https://www.shopify.com/,310,0,0
1695752700936,3262,HTTP Request,200,OK,ThreadGroup 1-33,text,true,,401854,119,1,1,https://www.shopify.com/,393,0,0
